sample_index,state,main_lobe_ratio,total_energy,main_lobe_energy,peak_intensity
88,before,0.3606810893807274,117052642.02353635,42218674.439941406,5137158.5
88,baseline_compensated,0.5952413484262464,120741053.59902193,71870067.5546875,10716374.0
88,physics_compensated,0.5633541677130027,120270460.71556231,67754865.296875,9704554.0
88,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
89,before,0.27984675667322445,116150086.64585404,32504225.03515625,5041302.0
89,baseline_compensated,0.5644660769490504,120271999.84951942,67889463.921875,9642661.0
89,physics_compensated,0.5924640610835036,120675972.43839878,71496176.70605469,10480693.0
89,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
90,before,0.24572627465914867,115806434.3060852,28456683.68359375,3434516.5
90,baseline_compensated,0.402583618071509,117747897.5432657,47403374.61328125,4259439.0
90,physics_compensated,0.3756990473639232,117457212.33757773,44128562.78125,4170253.5
90,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
