sample_index,state,strehl_ratio,peak_intensity,ideal_peak_intensity,phase_rmse_rad
64,baseline_compensated,0.5250409071304853,6710111.0,12780168.0,1.2384244203567505
64,physics_compensated,0.9387423545605973,11997285.0,12780168.0,0.4713708758354187
64,ideal,1.0,12780168.0,12780168.0,0.0
65,before,0.2872363454064141,3670928.75,12780168.0,1.3849477767944336
65,baseline_compensated,0.8134368812679145,10395860.0,12780168.0,0.6950464248657227
65,physics_compensated,0.7918215159612926,10119612.0,12780168.0,0.7914749979972839
65,ideal,1.0,12780168.0,12780168.0,0.0
66,before,0.8419985558875283,10760883.0,12780168.0,0.6984395980834961
66,baseline_compensated,0.9436784399078322,12060369.0,12780168.0,0.2597646415233612
66,physics_compensated,0.9441540205105285,12066447.0,12780168.0,0.25956737995147705
66,ideal,1.0,12780168.0,12780168.0,0.0
67,before,0.42026180720003053,5371016.5,12780168.0,2.2946598529815674
67,baseline_compensated,0.46963302829821957,6001989.0,12780168.0,0.9351199269294739
67,physics_compensated,0.3716410457202128,4749635.0,12780168.0,1.0642037391662598
67,ideal,1.0,12780168.0,12780168.0,0.0
68,before,0.37103045124289447,4741831.5,12780168.0,2.056788206100464
68,baseline_compensated,0.6041124029042497,7720658.0,12780168.0,1.1562994718551636
68,physics_compensated,0.6734307405035678,8606558.0,12780168.0,1.1257919073104858
68,ideal,1.0,12780168.0,12780168.0,0.0
69,before,0.3009028128581721,3845588.5,12780168.0,2.1118249893188477
69,baseline_compensated,0.7565602424005694,9668967.0,12780168.0,0.6975969672203064
69,physics_compensated,0.6998554322603584,8944270.0,12780168.0,0.8269742727279663
69,ideal,1.0,12780168.0,12780168.0,0.0
70,before,0.25560780969389446,3266710.75,12780168.0,1.8853894472122192
70,baseline_compensated,0.41681400432294785,5326953.0,12780168.0,1.5814744234085083
70,physics_compensated,0.3536207818238383,4519333.0,12780168.0,1.4147454500198364
70,ideal,1.0,12780168.0,12780168.0,0.0
71,before,0.8317256079888777,10629593.0,12780168.0,0.6746439933776855
71,baseline_compensated,0.8903736633196058,11379125.0,12780168.0,0.3777136504650116
71,physics_compensated,0.8612029200242125,11006318.0,12780168.0,0.43621987104415894
71,ideal,1.0,12780168.0,12780168.0,0.0
72,before,0.4711398160024187,6021246.0,12780168.0,1.8292133808135986
72,baseline_compensated,0.7035378564663626,8991332.0,12780168.0,0.7321519255638123
72,physics_compensated,0.6753007472202244,8630457.0,12780168.0,0.7970356345176697
72,ideal,1.0,12780168.0,12780168.0,0.0
73,before,0.41981161749986384,5365263.0,12780168.0,1.4739888906478882
73,baseline_compensated,0.5027413958877536,6425119.5,12780168.0,0.9662734866142273
73,physics_compensated,0.5106415659011682,6526085.0,12780168.0,0.9482023119926453
73,ideal,1.0,12780168.0,12780168.0,0.0
74,before,0.48845961962315365,6242596.0,12780168.0,0.9714881181716919
74,baseline_compensated,0.562043159370049,7183006.0,12780168.0,0.835950493812561
74,physics_compensated,0.5391755804775024,6890754.5,12780168.0,0.8601208925247192
74,ideal,1.0,12780168.0,12780168.0,0.0
75,before,0.5042800689318012,6444784.0,12780168.0,1.0401582717895508
75,baseline_compensated,0.6854463884981794,8760120.0,12780168.0,0.6663399934768677
75,physics_compensated,0.7027729995411641,8981557.0,12780168.0,0.6491630673408508
75,ideal,1.0,12780168.0,12780168.0,0.0
76,before,0.23170315523238819,2961205.25,12780168.0,1.9751405715942383
76,baseline_compensated,0.5379623335154906,6875249.0,12780168.0,1.0361583232879639
76,physics_compensated,0.6267148053139834,8009520.5,12780168.0,0.8573340177536011
76,ideal,1.0,12780168.0,12780168.0,0.0
77,before,0.40118439757599433,5127204.0,12780168.0,1.9539626836776733
77,baseline_compensated,0.6093465281520556,7787551.0,12780168.0,0.8495864868164062
77,physics_compensated,0.6388266179286533,8164311.5,12780168.0,0.8478875756263733
77,ideal,1.0,12780168.0,12780168.0,0.0
78,before,0.26922400394110624,3440728.0,12780168.0,1.7495111227035522
78,baseline_compensated,0.6055616013811399,7739179.0,12780168.0,0.7878884077072144
